"TOA5","CR1000_Gülpe_CELL2015","CR1000","E10832","CR1000.Std.29","CPU:guelpe_juli26_upload_SDI12auf3.CR1","45240","BF"
"TIMESTAMP","RECORD","BF_10cm","BF_20cm","BF_30cm","BF_40cm","BF_60cm","BF_100cm"
"TS","RN","mV","mV","mV","mV","mV","mV"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-08-30 00:00:00",3271,937,220.7,480.7,464.3,414.7,537.5
"2026-08-30 00:20:00",3272,937,220.4,480.4,464,414.5,537.1
"2026-08-30 00:40:00",3273,936,220.1,480.1,463.7,414,537
"2026-08-30 01:00:00",3274,937,220.1,479.9,463.5,413.9,536.7
"2026-08-30 01:20:00",3275,936,219.9,479.8,463.3,413.8,536.7
"2026-08-30 01:40:00",3276,938,219.8,479.9,463.4,414.1,537.2
"2026-08-30 02:00:00",3277,938,220.1,479.6,463.3,414,536.7
"2026-08-30 02:20:00",3278,937,219.9,479.7,463.5,414,536.9
"2026-08-30 02:40:00",3279,937,219.7,479.4,463.2,413.9,536.6
"2026-08-30 03:00:00",3280,938,220.1,479.7,463.4,414.2,537
"2026-08-30 03:20:00",3281,937,220.4,479.9,463.3,414.3,537.4
"2026-08-30 03:40:00",3282,937,221.2,480.8,464,414.3,538.5
"2026-08-30 04:00:00",3283,936,221.6,480.9,463.8,414.2,538.8
"2026-08-30 04:20:00",3284,936,221.6,481,464,414.4,538.9
"2026-08-30 04:40:00",3285,935,221.7,481,463.8,414.4,538.8
"2026-08-30 05:00:00",3286,935,221.5,481,464,414.3,538.8
"2026-08-30 05:20:00",3287,936,221.7,480.8,463.7,414.4,538.9
"2026-08-30 05:40:00",3288,937,221.5,480.8,463.8,414.3,538.7
"2026-08-30 06:00:00",3289,937,221.6,480.8,463.7,414.5,538.8
"2026-08-30 06:20:00",3290,936,221.6,480.6,463.7,414.5,538.9
"2026-08-30 06:40:00",3291,936,221.5,480.5,463.6,414.5,538.5
"2026-08-30 07:00:00",3292,936,221.5,480.5,463.8,414.6,538.8
"2026-08-30 07:20:00",3293,936,221.1,480.2,463.2,414.3,538.3
"2026-08-30 07:40:00",3294,936,220.9,479.9,463.2,414.2,538.2
"2026-08-30 08:00:00",3295,937,220.6,479.5,462.8,414.2,537.8
"2026-08-30 08:20:00",3296,937,220.6,479.4,462.7,414.1,537.7
"2026-08-30 08:40:00",3297,936,220,478.7,462.3,413.5,537.3
"2026-08-30 09:00:00",3298,935,220.1,478.7,462.1,413.6,537.3
"2026-08-30 09:20:00",3299,935,219.4,478.2,461.4,413,536.5
"2026-08-30 09:40:00",3300,934,219,477.4,461.1,412.6,536.1
"2026-08-30 10:00:00",3301,933,218.6,477.3,460.6,412.2,535.8
"2026-08-30 10:20:00",3302,932,218.7,477.1,460.5,412.3,535.8
"2026-08-30 10:40:00",3303,932,219,477.6,461,412.7,536.2
"2026-08-30 11:00:00",3304,933,219.1,477.4,461,412.9,536.2
"2026-08-30 11:20:00",3305,932,218.7,476.9,460.3,412.1,535.6
"2026-08-30 11:40:00",3306,930,218.3,476.6,459.9,411.9,535.3
"2026-08-30 12:00:00",3307,929,218.3,476.6,460,411.9,535.4
"2026-08-30 12:20:00",3308,929,218.4,476.6,460,411.8,535.5
"2026-08-30 12:40:00",3309,931,218.3,476.4,459.8,411.7,535.2
"2026-08-30 13:00:00",3310,931,218.5,476.3,459.7,411.8,535.2
"2026-08-30 13:20:00",3311,931,218.6,476.5,459.8,411.9,535.6
"2026-08-30 13:40:00",3312,930,218.2,476.2,459.4,411.7,535.4
"2026-08-30 14:00:00",3313,930,218.4,476.3,459.5,411.6,535.5
"2026-08-30 14:20:00",3314,930,218.1,475.9,459.3,411.5,535.3
"2026-08-30 14:40:00",3315,929,217.8,475.5,458.7,411,535
"2026-08-30 15:00:00",3316,928,218.3,476,459.2,411.5,535.2
"2026-08-30 15:20:00",3317,931,218.2,476,459.1,411.5,535.4
"2026-08-30 15:40:00",3318,931,218.3,475.7,459,411.5,535.4
"2026-08-30 16:00:00",3319,931,218.3,475.9,459.2,411.5,535.5
"2026-08-30 16:20:00",3320,931,218.1,475.7,459.1,411.4,535.4
"2026-08-30 16:40:00",3321,930,218,475.3,458.5,410.9,534.9
"2026-08-30 17:00:00",3322,930,218.1,475.8,458.9,411.3,535.2
"2026-08-30 17:20:00",3323,931,218.2,475.7,458.8,411.3,535.5
"2026-08-30 17:40:00",3324,930,218.4,475.8,458.8,411.4,535.6
"2026-08-30 18:00:00",3325,931,218.5,475.7,458.9,411.4,535.7
"2026-08-30 18:20:00",3326,931,218.5,475.8,459.1,411.6,535.9
"2026-08-30 18:40:00",3327,933,218.5,475.9,459.3,411.7,536
"2026-08-30 19:00:00",3328,932,218.5,475.6,458.8,411.6,535.9
"2026-08-30 19:20:00",3329,932,218.6,475.9,459,411.9,535.9
"2026-08-30 19:40:00",3330,932,218.7,475.7,458.9,411.9,536.1
"2026-08-30 20:00:00",3331,932,218.6,475.8,459,412,536
"2026-08-30 20:20:00",3332,935,218.6,475.9,459,412.1,536.1
"2026-08-30 20:40:00",3333,935,218.7,475.8,459,411.9,536
"2026-08-30 21:00:00",3334,936,218.7,475.6,459,412,536.2
"2026-08-30 21:20:00",3335,936,218.8,475.8,458.9,412.1,536.5
"2026-08-30 21:40:00",3336,937,218.6,475.5,458.9,412,536.3
"2026-08-30 22:00:00",3337,937,218.8,475.6,458.8,412.1,536.4
"2026-08-30 22:20:00",3338,938,218.8,475.7,459,412.3,536.4
"2026-08-30 22:40:00",3339,937,218.9,475.7,458.9,412.3,536.4
"2026-08-30 23:00:00",3340,938,218.9,475.8,459,412.4,536.5
"2026-08-30 23:20:00",3341,937,218.9,475.6,458.9,412.5,536.6
"2026-08-30 23:40:00",3342,939,218.9,475.6,458.8,412.4,536.6
"2026-08-31 00:00:00",3343,939,218.7,475.4,458.8,412.5,536.5
"2026-08-31 00:20:00",3344,938,218.7,475.5,458.7,412.4,536.6
"2026-08-31 00:40:00",3345,939,218.7,475.6,458.8,412.4,536.5
"2026-08-31 01:00:00",3346,939,218.7,475.4,458.9,412.6,536.4
"2026-08-31 01:20:00",3347,941,219,475.6,459,412.8,536.8
"2026-08-31 01:40:00",3348,942,219,475.8,459.1,412.9,537.2
"2026-08-31 02:00:00",3349,942,219.3,476,459.3,413.3,537.3
"2026-08-31 02:20:00",3350,943,219.4,476,459.2,413.4,537.3
"2026-08-31 02:40:00",3351,944,219.4,476,459.5,413.5,537.4
"2026-08-31 03:00:00",3352,944,219.6,476.4,459.6,413.6,537.6
"2026-08-31 03:20:00",3353,945,219.5,476.1,459.3,413.7,537.4
"2026-08-31 03:40:00",3354,945,219.3,476,459.3,413.5,537.4
"2026-08-31 04:00:00",3355,946,219.3,476,459.3,413.5,537.3
"2026-08-31 04:20:00",3356,947,219.2,475.8,459.1,413.3,537.5
"2026-08-31 04:40:00",3357,947,219,475.6,459.1,413.3,537.3
"2026-08-31 05:00:00",3358,947,218.9,475.6,458.8,413.3,537.4
"2026-08-31 05:20:00",3359,947,218.8,475.4,458.8,413.2,537.2
"2026-08-31 05:40:00",3360,948,218.8,475.3,458.8,413.2,537.1
"2026-08-31 06:00:00",3361,948,218.8,475.1,458.6,413.1,537.1
"2026-08-31 06:20:00",3362,946,218.7,475,458.7,413,537.2
"2026-08-31 06:40:00",3363,947,218.6,475,458.4,413.1,537.3
"2026-08-31 07:00:00",3364,947,218.5,475,458.5,413.2,537.1
"2026-08-31 07:20:00",3365,947,218.2,474.8,458.2,412.9,537.1
"2026-08-31 07:40:00",3366,947,218.3,474.7,458.2,413,537
"2026-08-31 08:00:00",3367,947,218.3,474.5,458.1,412.7,536.7
"2026-08-31 08:20:00",3368,948,218.2,474.7,458.1,412.7,536.8
"2026-08-31 08:40:00",3369,948,218.1,474.5,458,412.8,536.5
"2026-08-31 09:00:00",3370,948,217.9,474,457.6,412.5,536.5
"2026-08-31 09:20:00",3371,947,217.2,473.4,456.7,411.6,535.7
"2026-08-31 09:40:00",3372,946,216.8,472.9,456.2,411.2,535.3
"2026-08-31 10:00:00",3373,945,216.7,472.9,456.2,411.3,535.4
"2026-08-31 10:20:00",3374,944,216.6,472.4,455.6,410.8,535
"2026-08-31 10:40:00",3375,942,216,471.7,455.1,410,534.2
"2026-08-31 11:00:00",3376,940,215.9,471.8,455.3,410.2,534.3
"2026-08-31 11:20:00",3377,938,215.9,471.7,454.9,409.9,534.3
"2026-08-31 11:40:00",3378,936,215.9,471.6,454.6,409.7,534
"2026-08-31 12:00:00",3379,936,215.9,471.5,454.8,409.8,534.3
"2026-08-31 12:20:00",3380,936,215.6,471.3,454.1,409.4,533.7
"2026-08-31 12:40:00",3381,935,215.6,471.2,454.2,409.3,533.8
"2026-08-31 13:00:00",3382,931,215.2,470.6,453.5,408.5,533.3
"2026-08-31 13:20:00",3383,924,215.7,471.2,454,409,533.9
"2026-08-31 13:20:00",3384,930,216,471.4,454.4,409.4,534.3
"2026-08-31 13:40:00",3385,931,216.3,471.4,454.5,409.4,534.3
