"TOA5","CR1000_Gülpe_CELL2015","CR1000","E10832","CR1000.Std.29","CPU:guelpe_juli26_upload_SDI12auf3.CR1","45240","DK"
"TIMESTAMP","RECORD","DK_10cm","DK_20cm","DK_30cm","DK_40cm","DK_60cm","DK_100cm"
"TS","RN","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-08-30 00:00:00",3271,29.99,2.144,5.642,5.355,4.576,6.778
"2026-08-30 00:20:00",3272,29.95,2.142,5.639,5.351,4.573,6.768
"2026-08-30 00:40:00",3273,29.89,2.138,5.632,5.346,4.566,6.763
"2026-08-30 01:00:00",3274,30.05,2.138,5.632,5.344,4.568,6.759
"2026-08-30 01:20:00",3275,29.95,2.136,5.627,5.339,4.564,6.756
"2026-08-30 01:40:00",3276,30.13,2.136,5.626,5.341,4.566,6.761
"2026-08-30 02:00:00",3277,30.21,2.137,5.625,5.338,4.566,6.76
"2026-08-30 02:20:00",3278,30.07,2.135,5.62,5.341,4.566,6.76
"2026-08-30 02:40:00",3279,30.07,2.137,5.624,5.339,4.567,6.765
"2026-08-30 03:00:00",3280,30.12,2.139,5.624,5.341,4.57,6.769
"2026-08-30 03:20:00",3281,30.01,2.14,5.627,5.339,4.571,6.775
"2026-08-30 03:40:00",3282,29.98,2.15,5.644,5.349,4.573,6.793
"2026-08-30 04:00:00",3283,29.82,2.155,5.647,5.349,4.572,6.801
"2026-08-30 04:20:00",3284,29.88,2.156,5.647,5.35,4.572,6.804
"2026-08-30 04:40:00",3285,29.76,2.155,5.645,5.349,4.574,6.806
"2026-08-30 05:00:00",3286,29.73,2.156,5.648,5.351,4.571,6.8
"2026-08-30 05:20:00",3287,29.9,2.153,5.642,5.349,4.571,6.807
"2026-08-30 05:40:00",3288,30.03,2.155,5.645,5.352,4.576,6.807
"2026-08-30 06:00:00",3289,30.02,2.154,5.642,5.346,4.576,6.803
"2026-08-30 06:20:00",3290,29.83,2.153,5.645,5.348,4.573,6.805
"2026-08-30 06:40:00",3291,29.79,2.152,5.637,5.342,4.573,6.798
"2026-08-30 07:00:00",3292,29.81,2.151,5.639,5.346,4.579,6.802
"2026-08-30 07:20:00",3293,29.81,2.147,5.629,5.339,4.57,6.795
"2026-08-30 07:40:00",3294,29.93,2.145,5.628,5.337,4.57,6.785
"2026-08-30 08:00:00",3295,30.06,2.144,5.621,5.331,4.566,6.788
"2026-08-30 08:20:00",3296,30.01,2.143,5.621,5.327,4.567,6.779
"2026-08-30 08:40:00",3297,29.78,2.138,5.606,5.32,4.56,6.768
"2026-08-30 09:00:00",3298,29.76,2.137,5.608,5.316,4.56,6.77
"2026-08-30 09:20:00",3299,29.63,2.131,5.595,5.308,4.551,6.755
"2026-08-30 09:40:00",3300,29.46,2.125,5.589,5.3,4.545,6.74
"2026-08-30 10:00:00",3301,29.31,2.122,5.582,5.294,4.543,6.738
"2026-08-30 10:20:00",3302,29.19,2.122,5.583,5.3,4.545,6.741
"2026-08-30 10:40:00",3303,29.15,2.126,5.586,5.299,4.547,6.744
"2026-08-30 11:00:00",3304,29.31,2.127,5.587,5.303,4.548,6.748
"2026-08-30 11:20:00",3305,29.18,2.122,5.575,5.288,4.538,6.734
"2026-08-30 11:40:00",3306,28.79,2.118,5.568,5.281,4.535,6.728
"2026-08-30 12:00:00",3307,28.77,2.119,5.572,5.283,4.535,6.729
"2026-08-30 12:20:00",3308,28.75,2.12,5.568,5.281,4.536,6.73
"2026-08-30 12:40:00",3309,29.02,2.12,5.569,5.283,4.536,6.725
"2026-08-30 13:00:00",3310,29.02,2.121,5.565,5.279,4.534,6.728
"2026-08-30 13:20:00",3311,29.02,2.12,5.566,5.28,4.537,6.735
"2026-08-30 13:40:00",3312,28.88,2.118,5.558,5.273,4.531,6.726
"2026-08-30 14:00:00",3313,28.92,2.119,5.564,5.276,4.534,6.733
"2026-08-30 14:20:00",3314,28.95,2.116,5.56,5.272,4.53,6.727
"2026-08-30 14:40:00",3315,28.75,2.112,5.554,5.263,4.523,6.718
"2026-08-30 15:00:00",3316,28.55,2.118,5.559,5.272,4.53,6.726
"2026-08-30 15:20:00",3317,28.93,2.115,5.556,5.268,4.529,6.728
"2026-08-30 15:40:00",3318,28.98,2.119,5.555,5.267,4.53,6.729
"2026-08-30 16:00:00",3319,29.04,2.119,5.56,5.27,4.529,6.737
"2026-08-30 16:20:00",3320,29.07,2.117,5.556,5.267,4.53,6.728
"2026-08-30 16:40:00",3321,28.81,2.112,5.547,5.256,4.521,6.715
"2026-08-30 17:00:00",3322,28.88,2.117,5.553,5.265,4.526,6.726
"2026-08-30 17:20:00",3323,28.97,2.118,5.551,5.263,4.527,6.726
"2026-08-30 17:40:00",3324,28.85,2.118,5.556,5.262,4.528,6.731
"2026-08-30 18:00:00",3325,28.93,2.12,5.551,5.263,4.529,6.73
"2026-08-30 18:20:00",3326,29.06,2.119,5.555,5.266,4.53,6.736
"2026-08-30 18:40:00",3327,29.31,2.12,5.556,5.263,4.53,6.736
"2026-08-30 19:00:00",3328,29.16,2.121,5.554,5.267,4.533,6.742
"2026-08-30 19:20:00",3329,29.25,2.12,5.554,5.263,4.534,6.741
"2026-08-30 19:40:00",3330,29.26,2.122,5.554,5.266,4.535,6.744
"2026-08-30 20:00:00",3331,29.26,2.123,5.555,5.267,4.537,6.745
"2026-08-30 20:20:00",3332,29.62,2.122,5.554,5.267,4.539,6.746
"2026-08-30 20:40:00",3333,29.71,2.122,5.555,5.269,4.536,6.746
"2026-08-30 21:00:00",3334,29.83,2.122,5.552,5.266,4.536,6.749
"2026-08-30 21:20:00",3335,29.92,2.123,5.554,5.268,4.539,6.745
"2026-08-30 21:40:00",3336,29.98,2.122,5.552,5.266,4.539,6.748
"2026-08-30 22:00:00",3337,30.05,2.123,5.55,5.265,4.539,6.75
"2026-08-30 22:20:00",3338,30.12,2.123,5.553,5.268,4.542,6.755
"2026-08-30 22:40:00",3339,30.07,2.124,5.553,5.263,4.543,6.749
"2026-08-30 23:00:00",3340,30.2,2.124,5.553,5.267,4.541,6.75
"2026-08-30 23:20:00",3341,30.06,2.124,5.555,5.265,4.544,6.754
"2026-08-30 23:40:00",3342,30.32,2.125,5.55,5.262,4.544,6.753
"2026-08-31 00:00:00",3343,30.38,2.122,5.548,5.262,4.542,6.753
"2026-08-31 00:20:00",3344,30.26,2.124,5.55,5.262,4.544,6.757
"2026-08-31 00:40:00",3345,30.35,2.122,5.549,5.267,4.546,6.755
"2026-08-31 01:00:00",3346,30.46,2.124,5.549,5.263,4.548,6.754
"2026-08-31 01:20:00",3347,30.63,2.123,5.551,5.265,4.547,6.762
"2026-08-31 01:40:00",3348,30.8,2.127,5.554,5.27,4.549,6.763
"2026-08-31 02:00:00",3349,30.96,2.128,5.556,5.27,4.555,6.768
"2026-08-31 02:20:00",3350,31.1,2.13,5.56,5.274,4.558,6.775
"2026-08-31 02:40:00",3351,31.23,2.13,5.559,5.274,4.558,6.768
"2026-08-31 03:00:00",3352,31.26,2.132,5.56,5.279,4.563,6.78
"2026-08-31 03:20:00",3353,31.37,2.13,5.559,5.272,4.562,6.776
"2026-08-31 03:40:00",3354,31.48,2.129,5.561,5.277,4.561,6.775
"2026-08-31 04:00:00",3355,31.59,2.129,5.556,5.272,4.56,6.771
"2026-08-31 04:20:00",3356,31.75,2.128,5.553,5.269,4.558,6.775
"2026-08-31 04:40:00",3357,31.78,2.124,5.553,5.27,4.558,6.769
"2026-08-31 05:00:00",3358,31.85,2.125,5.551,5.264,4.555,6.771
"2026-08-31 05:20:00",3359,31.9,2.125,5.547,5.264,4.557,6.769
"2026-08-31 05:40:00",3360,31.92,2.123,5.545,5.261,4.553,6.767
"2026-08-31 06:00:00",3361,31.97,2.125,5.543,5.263,4.554,6.768
"2026-08-31 06:20:00",3362,31.75,2.122,5.545,5.262,4.555,6.77
"2026-08-31 06:40:00",3363,31.83,2.122,5.539,5.259,4.554,6.768
"2026-08-31 07:00:00",3364,31.84,2.121,5.537,5.259,4.554,6.767
"2026-08-31 07:20:00",3365,31.84,2.117,5.534,5.252,4.548,6.762
"2026-08-31 07:40:00",3366,31.83,2.117,5.537,5.253,4.549,6.763
"2026-08-31 08:00:00",3367,31.84,2.118,5.535,5.252,4.55,6.761
"2026-08-31 08:20:00",3368,31.94,2.116,5.531,5.251,4.549,6.759
"2026-08-31 08:40:00",3369,32.06,2.115,5.53,5.249,4.548,6.756
"2026-08-31 09:00:00",3370,31.98,2.114,5.522,5.243,4.543,6.751
"2026-08-31 09:20:00",3371,31.77,2.105,5.513,5.228,4.533,6.734
"2026-08-31 09:40:00",3372,31.61,2.102,5.506,5.221,4.526,6.724
"2026-08-31 10:00:00",3373,31.51,2.1,5.503,5.22,4.526,6.727
"2026-08-31 10:20:00",3374,31.33,2.097,5.496,5.214,4.519,6.718
"2026-08-31 10:40:00",3375,30.88,2.093,5.485,5.205,4.511,6.706
"2026-08-31 11:00:00",3376,30.61,2.091,5.486,5.207,4.511,6.706
"2026-08-31 11:20:00",3377,30.23,2.09,5.484,5.2,4.506,6.703
"2026-08-31 11:40:00",3378,29.87,2.09,5.479,5.197,4.506,6.703
"2026-08-31 12:00:00",3379,29.95,2.094,5.483,5.196,4.51,6.707
"2026-08-31 12:20:00",3380,29.78,2.089,5.479,5.19,4.501,6.7
"2026-08-31 12:40:00",3381,29.69,2.088,5.474,5.184,4.496,6.695
"2026-08-31 13:00:00",3382,29.09,2.083,5.464,5.177,4.487,6.686
"2026-08-31 13:20:00",3383,27.89,2.088,5.472,5.184,4.495,6.693
"2026-08-31 13:20:00",3384,28.89,2.094,5.478,5.191,4.498,6.704
"2026-08-31 13:40:00",3385,28.96,2.094,5.48,5.195,4.498,6.702
