"TOA5","CR1000_Gülpe_CELL2015","CR1000","E10832","CR1000.Std.29","CPU:guelpe_juli26_upload_SDI12auf3.CR1","45240","Guelpe_SMT100"
"TIMESTAMP","RECORD","S0_Adr","S0_Roh","S0_Dielek","S0_Wasserg","S0_Temp","S0_Spg","S1_Adr","S1_Roh","S1_Dielek","S1_Wasserg","S1_Temp","S1_Spg","S2_Adr","S2_Roh","S2_Dielek","S2_Wasserg","S2_Temp","S2_Spg","S3_Adr","S3_Roh","S3_Dielek","S3_Wasserg","S3_Temp","S3_Spg","S4_Adr","S4_Roh","S4_Dielek","S4_Wasserg","S4_Temp","S4_Spg","S5_Adr","S5_Roh","S5_Dielek","S5_Wasserg","S5_Temp","S5_Spg"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-08-30 00:00:00",4362,0,15725,3.08,3.18,19.02,13.43,1,15157,4.04,5.63,18.6,13.36,2,15571,3.48,4.21,17.98,13.59,3,15457,3.25,3.63,17.37,13.51,4,15509,3.34,3.85,16.71,13.28,5,15149,3.94,5.37,15.68,13.43
"2026-08-30 00:15:00",4363,0,15725,3.08,3.18,18.92,13.43,1,15158,4.04,5.63,18.58,13.33,2,15572,3.48,4.21,17.98,13.62,3,15457,3.25,3.63,17.38,13.51,4,15508,3.34,3.85,16.72,13.3,5,15149,3.94,5.37,15.65,13.43
"2026-08-30 00:30:00",4364,0,15727,3.08,3.18,18.91,13.41,1,15158,4.04,5.63,18.55,13.28,2,15572,3.48,4.21,18.01,13.51,3,15457,3.25,3.63,17.35,13.49,4,15508,3.34,3.85,16.73,13.28,5,15149,3.94,5.37,15.67,13.38
"2026-08-30 00:45:00",4365,0,15727,3.08,3.18,18.84,13.41,1,15159,4.04,5.63,18.53,13.33,2,15573,3.48,4.21,18.02,13.54,3,15457,3.25,3.63,17.38,13.51,4,15508,3.34,3.85,16.75,13.25,5,15149,3.94,5.37,15.71,13.38
"2026-08-30 01:00:00",4366,0,15728,3.08,3.18,18.8,13.38,1,15160,4.04,5.62,18.49,13.25,2,15574,3.48,4.2,18.02,13.49,3,15458,3.25,3.63,17.38,13.46,4,15508,3.34,3.85,16.73,13.25,5,15149,3.94,5.37,15.69,13.33
"2026-08-30 01:15:00",4367,0,15728,3.08,3.18,18.77,13.36,1,15161,4.04,5.62,18.48,13.2,2,15574,3.48,4.2,17.98,13.51,3,15457,3.25,3.63,17.39,13.46,4,15509,3.34,3.85,16.74,13.23,5,15150,3.94,5.37,15.69,13.28
"2026-08-30 01:30:00",4368,0,15728,3.08,3.18,18.72,13.38,1,15161,4.04,5.62,18.48,13.23,2,15575,3.47,4.2,17.99,13.51,3,15458,3.25,3.63,17.38,13.46,4,15509,3.34,3.85,16.75,13.23,5,15150,3.94,5.37,15.68,13.3
"2026-08-30 01:45:00",4369,0,15728,3.08,3.18,18.68,13.3,1,15162,4.04,5.62,18.45,13.28,2,15576,3.47,4.2,17.98,13.54,3,15458,3.25,3.63,17.43,13.46,4,15508,3.34,3.85,16.74,13.25,5,15150,3.94,5.37,15.64,13.36
"2026-08-30 02:00:00",4370,0,15729,3.08,3.17,18.62,13.3,1,15163,4.03,5.61,18.44,13.28,2,15576,3.47,4.2,17.96,13.54,3,15459,3.25,3.62,17.4,13.46,4,15509,3.34,3.85,16.76,13.2,5,15150,3.94,5.37,15.66,13.36
"2026-08-30 02:15:00",4371,0,15729,3.08,3.17,18.66,13.33,1,15164,4.03,5.61,18.38,13.28,2,15577,3.47,4.19,17.97,13.54,3,15459,3.25,3.62,17.41,13.43,4,15509,3.34,3.85,16.73,13.2,5,15150,3.94,5.37,15.67,13.36
"2026-08-30 02:30:00",4372,0,15730,3.07,3.17,18.59,13.38,1,15165,4.03,5.61,18.36,13.28,2,15577,3.47,4.19,17.98,13.54,3,15459,3.25,3.62,17.37,13.43,4,15509,3.34,3.85,16.76,13.23,5,15150,3.94,5.37,15.66,13.36
