"TOA5","CR1000_Gülpe_CELL2015","CR1000","E10832","CR1000.Std.29","CPU:guelpe_juli26_upload_SDI12auf3.CR1","45240","Pegel"
"TIMESTAMP","RECORD","Lvl_m_Avg","Temp_C_Avg"
"TS","RN","meters","deg C"
"","","Avg","Avg"
"2026-08-30 00:00:00",2180,1.77,11.53
"2026-08-30 00:30:00",2181,1.77,11.53
"2026-08-30 01:00:00",2182,1.77,11.54
"2026-08-30 01:30:00",2183,1.77,11.54
"2026-08-30 02:00:00",2184,1.769,11.54
"2026-08-30 02:30:00",2185,1.769,11.54
"2026-08-30 03:00:00",2186,1.769,11.54
"2026-08-30 03:30:00",2187,1.769,11.54
"2026-08-30 04:00:00",2188,1.769,11.54
"2026-08-30 04:30:00",2189,1.769,11.54
"2026-08-30 05:00:00",2190,1.769,11.54
"2026-08-30 05:30:00",2191,1.769,11.54
"2026-08-30 06:00:00",2192,1.769,11.54
"2026-08-30 06:30:00",2193,1.77,11.54
"2026-08-30 07:00:00",2194,1.77,11.54
"2026-08-30 07:30:00",2195,1.771,11.54
"2026-08-30 08:00:00",2196,1.771,11.54
"2026-08-30 08:30:00",2197,1.772,11.54
"2026-08-30 09:00:00",2198,1.772,11.54
"2026-08-30 09:30:00",2199,1.772,11.54
"2026-08-30 10:00:00",2200,1.773,11.54
"2026-08-30 10:30:00",2201,1.773,11.54
"2026-08-30 11:00:00",2202,1.773,11.54
"2026-08-30 11:30:00",2203,1.773,11.54
"2026-08-30 12:00:00",2204,1.773,11.54
"2026-08-30 12:30:00",2205,1.773,11.54
"2026-08-30 13:00:00",2206,1.773,11.54
"2026-08-30 13:30:00",2207,1.773,11.54
"2026-08-30 14:00:00",2208,1.772,11.55
"2026-08-30 14:30:00",2209,1.772,11.55
"2026-08-30 15:00:00",2210,1.772,11.55
"2026-08-30 15:30:00",2211,1.771,11.55
"2026-08-30 16:00:00",2212,1.771,11.55
"2026-08-30 16:30:00",2213,1.77,11.55
"2026-08-30 17:00:00",2214,1.769,11.55
"2026-08-30 17:30:00",2215,1.769,11.55
"2026-08-30 18:00:00",2216,1.768,11.55
"2026-08-30 18:30:00",2217,1.768,11.55
"2026-08-30 19:00:00",2218,1.767,11.55
"2026-08-30 19:30:00",2219,1.767,11.55
"2026-08-30 20:00:00",2220,1.766,11.55
"2026-08-30 20:30:00",2221,1.766,11.55
"2026-08-30 21:00:00",2222,1.766,11.55
"2026-08-30 21:30:00",2223,1.766,11.55
"2026-08-30 22:00:00",2224,1.766,11.55
"2026-08-30 22:30:00",2225,1.767,11.55
"2026-08-30 23:00:00",2226,1.767,11.55
"2026-08-30 23:30:00",2227,1.768,11.55
"2026-08-31 00:00:00",2228,1.768,11.55
"2026-08-31 00:30:00",2229,1.769,11.55
"2026-08-31 01:00:00",2230,1.77,11.55
"2026-08-31 01:30:00",2231,1.77,11.55
"2026-08-31 02:00:00",2232,1.771,11.55
"2026-08-31 02:30:00",2233,1.771,11.55
"2026-08-31 03:00:00",2234,1.772,11.55
"2026-08-31 03:30:00",2235,1.772,11.55
"2026-08-31 04:00:00",2236,1.772,11.55
"2026-08-31 04:30:00",2237,1.772,11.55
"2026-08-31 05:00:00",2238,1.772,11.56
"2026-08-31 05:30:00",2239,1.772,11.56
"2026-08-31 06:00:00",2240,1.772,11.56
"2026-08-31 06:30:00",2241,1.772,11.56
"2026-08-31 07:00:00",2242,1.772,11.56
"2026-08-31 07:30:00",2243,1.772,11.56
"2026-08-31 08:00:00",2244,1.772,11.56
"2026-08-31 08:30:00",2245,1.772,11.56
"2026-08-31 09:00:00",2246,1.772,11.56
"2026-08-31 09:30:00",2247,1.772,11.56
"2026-08-31 10:00:00",2248,1.773,11.56
"2026-08-31 10:30:00",2249,1.773,11.56
"2026-08-31 11:00:00",2250,1.773,11.56
"2026-08-31 11:30:00",2251,1.773,11.56
"2026-08-31 12:00:00",2252,1.773,11.56
"2026-08-31 12:30:00",2253,1.772,11.56
"2026-08-31 13:00:00",2254,1.772,11.56
"2026-08-31 13:30:00",2255,1.771,11.56
"2026-08-31 13:30:00",2256,1.771,11.56
