"TOA5","CR1000_Gülpe_CELL2015","CR1000","E10832","CR1000.Std.29","CPU:guelpe_juli26_upload_SDI12auf3.CR1","45240","Strahlung"
"TIMESTAMP","RECORD","SUp_Avg","SDn_Avg","LUp_Avg","LDn_Avg","CNR4TC_Avg","CNR4TK_Avg","RsNet_Avg","RlNet_Avg","Albedo_Avg","Rn_Avg","LUpCo_Avg","LDnCo_Avg"
"TS","RN","W/mÃ‚Â²","W/mÃ‚Â²","W/mÃ‚Â²","W/mÃ‚Â²","Deg C","K","W/mÃ‚Â²","W/mÃ‚Â²","W/mÃ‚Â²","W/mÃ‚Â²","W/mÃ‚Â²","W/mÃ‚Â²"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2026-08-30 00:00:00",3271,-0.309,1.573,-30.92,-6.638,16.72,289.9,-1.882,-24.28,"NAN",-26.16,369.4,393.7
"2026-08-30 00:20:00",3272,0.303,2.951,-35.62,-6.915,17.66,290.8,-2.648,-28.7,"NAN",-31.35,369.9,398.6
"2026-08-30 00:40:00",3273,0.605,2.698,-25.95,-5.907,19.51,292.7,-2.093,-20.05,"NAN",-22.14,390,410.1
"2026-08-30 01:00:00",3274,-0.987,0.953,-30.8,-7.354,20.24,293.4,-1.94,-23.44,-1.067,-25.38,389.3,412.8
"2026-08-30 01:20:00",3275,-1.326,0.704,-31.99,-7.307,20.21,293.4,-2.03,-24.68,-0.616,-26.71,388,412.7
"2026-08-30 01:40:00",3276,-1.293,0.513,-29.28,-7.041,20.18,293.3,-1.806,-22.24,-0.41,-24.04,390.5,412.7
"2026-08-30 02:00:00",3277,-1.532,-0.11,-24.86,-6.879,19.8,293,-1.422,-17.98,0.058,-19.4,392.8,410.7
"2026-08-30 02:20:00",3278,-0.841,0.755,-22.8,-4.77,19.54,292.7,-1.596,-18.04,-1.195,-19.63,393.3,411.4
"2026-08-30 02:40:00",3279,-3.499,0.513,-26.59,-7.06,19.11,292.3,-4.012,-19.53,-0.188,-23.54,387.1,406.6
"2026-08-30 03:00:00",3280,-1.552,0.084,-26.25,-6.533,18.36,291.5,-1.636,-19.71,-0.131,-21.35,383.2,402.9
"2026-08-30 03:20:00",3281,-1.891,0.88,-15.47,-4.123,18.16,291.3,-2.77,-11.35,-1.058,-14.12,392.9,404.2
"2026-08-30 03:40:00",3282,-4.356,3.006,-5.409,-1.648,16.96,290.1,-7.362,-3.761,-0.797,-11.12,396.2,400
"2026-08-30 04:00:00",3283,-1.702,1.954,-4.384,-0.335,16.38,289.5,-3.655,-4.049,-1.149,-7.704,394.1,398.1
"2026-08-30 04:20:00",3284,-0.937,1.243,-6.401,-0.219,16.17,289.3,-2.18,-6.181,-1.371,-8.36,390.9,397.1
"2026-08-30 04:40:00",3285,-0.954,1.188,-15.77,-0.828,16.06,289.2,-2.142,-14.94,-1.339,-17.08,380.9,395.9
"2026-08-30 05:00:00",3286,-0.874,1.397,-18.58,-1.278,15.93,289.1,-2.271,-17.3,-1.851,-19.57,377.4,394.7
"2026-08-30 05:20:00",3287,-0.392,1.576,-11.96,-0.57,16.07,289.2,-1.969,-11.39,-4.757,-13.36,384.8,396.2
"2026-08-30 05:40:00",3288,-1.127,2.207,-28.87,-1.714,16.14,289.3,-3.334,-27.15,-2.549,-30.49,368.3,395.4
"2026-08-30 06:00:00",3289,-2.034,2.046,-46.83,-4.278,15.76,288.9,-4.08,-42.55,-1.011,-46.63,348.2,390.8
"2026-08-30 06:20:00",3290,-1.539,2.412,-53.53,-4.725,15.37,288.5,-3.951,-48.81,-1.948,-52.76,339.4,388.2
"2026-08-30 06:40:00",3291,1.851,3.226,-56.46,-4.486,15.45,288.6,-1.375,-51.98,"INF",-53.35,336.9,388.9
"2026-08-30 07:00:00",3292,11.38,3.49,-53.67,-4.713,15.06,288.2,7.89,-48.96,0.331,-41.07,337.5,386.5
"2026-08-30 07:20:00",3293,68.77,19.89,-24.45,-0.015,15.5,288.7,48.88,-24.43,0.29,24.45,369.2,393.6
"2026-08-30 07:40:00",3294,38.86,8.84,-12.28,-0.433,17,290.2,30.02,-11.85,0.227,18.18,389.6,401.4
"2026-08-30 08:00:00",3295,58.06,11.4,-12.83,-0.92,17.52,290.7,46.66,-11.91,0.197,34.75,391.9,403.8
"2026-08-30 08:20:00",3296,97.9,17.51,-31.71,-2.191,18.24,291.4,80.4,-29.52,0.179,50.84,377.1,406.6
"2026-08-30 08:40:00",3297,180.8,32.94,-26.75,-0.647,19.52,292.7,147.8,-26.11,0.178,121.7,389.2,415.3
