"TOA5","CR1000_Gülpe_CELL2015","CR1000","E10832","CR1000.Std.29","CPU:guelpe_juli26_upload_SDI12auf3.CR1","45240","Temp"
"TIMESTAMP","RECORD","AirTC_1_Avg","RH_1","AirTC_2_Avg","RH_2","T107_C_1_Avg","T107_C_2_Avg","T107_C_3_Avg"
"TS","RN","Deg C","%","Deg C","%","Deg C","Deg C","Deg C"
"","","Avg","Smp","Avg","Smp","Avg","Avg","Avg"
"2026-08-30 00:00:00",3271,17.29,75.83,16.46,80.4,18.48,17.45,16.57
"2026-08-30 00:20:00",3272,18.62,67.67,17.72,71.35,18.42,17.46,16.58
"2026-08-30 00:40:00",3273,20.29,63.93,19.71,65.55,18.37,17.46,16.58
"2026-08-30 01:00:00",3274,20.56,64.27,20.13,65.52,18.31,17.46,16.58
"2026-08-30 01:20:00",3275,20.47,65.25,20.05,66.26,18.26,17.46,16.58
"2026-08-30 01:40:00",3276,20.4,66.87,20,68.04,18.22,17.45,16.58
"2026-08-30 02:00:00",3277,19.88,69.85,19.51,71.02,18.18,17.45,16.58
"2026-08-30 02:20:00",3278,19.77,68.61,19.38,69.88,18.15,17.45,16.58
"2026-08-30 02:40:00",3279,19.39,76.54,18.97,77.92,18.13,17.46,16.59
"2026-08-30 03:00:00",3280,18.5,79.33,18.07,80.5,18.1,17.46,16.59
"2026-08-30 03:20:00",3281,18.44,82.3,18.07,84.2,18.08,17.46,16.59
"2026-08-30 03:40:00",3282,17.72,92.5,17.31,92.4,18.06,17.46,16.6
"2026-08-30 04:00:00",3283,16.87,95.7,16.62,95.4,18.05,17.47,16.61
"2026-08-30 04:20:00",3284,16.48,97.2,16.29,96.8,18.04,17.47,16.62
"2026-08-30 04:40:00",3285,16.35,97.6,16.11,97.4,18.02,17.48,16.63
"2026-08-30 05:00:00",3286,16.29,97.7,15.98,97.9,18.01,17.47,16.63
"2026-08-30 05:20:00",3287,16.39,97.4,16.1,98.1,17.99,17.47,16.63
"2026-08-30 05:40:00",3288,16.63,95.1,16.19,97.3,17.97,17.47,16.63
"2026-08-30 06:00:00",3289,16.36,95.8,15.81,96.9,17.95,17.46,16.64
"2026-08-30 06:20:00",3290,16.05,94.5,15.44,96.8,17.93,17.45,16.64
"2026-08-30 06:40:00",3291,16.2,94,15.58,95.7,17.91,17.45,16.64
"2026-08-30 07:00:00",3292,15.62,95.7,15.09,96.6,17.88,17.44,16.65
"2026-08-30 07:20:00",3293,15.91,94.6,15.54,96.8,17.85,17.43,16.65
"2026-08-30 07:40:00",3294,17.39,89.2,17.01,92.6,17.81,17.43,16.65
"2026-08-30 08:00:00",3295,17.93,85.1,17.55,87.9,17.78,17.42,16.65
"2026-08-30 08:20:00",3296,18.52,82.8,18.16,85.2,17.75,17.41,16.64
"2026-08-30 08:40:00",3297,19.43,79.55,19.29,80.2,17.73,17.4,16.64
"2026-08-30 09:00:00",3298,19.34,83.1,19.29,83.7,17.71,17.38,16.63
"2026-08-30 09:20:00",3299,20.02,79.61,20.35,79.77,17.7,17.37,16.62
"2026-08-30 09:40:00",3300,21.6,72,22.13,71.74,17.69,17.36,16.62
"2026-08-30 10:00:00",3301,22.53,67.67,23.15,67.18,17.71,17.34,16.62
"2026-08-30 10:20:00",3302,22.5,65.78,22.86,66.04,17.75,17.33,16.62
"2026-08-30 10:40:00",3303,22.33,67.09,22.59,66.76,17.82,17.32,16.62
"2026-08-30 11:00:00",3304,22.02,64.41,22.14,64.8,17.88,17.32,16.62
"2026-08-30 11:20:00",3305,23.06,60.08,23.7,57.99,17.95,17.31,16.62
"2026-08-30 11:40:00",3306,23.92,55.75,24.88,54.37,18,17.29,16.61
"2026-08-30 12:00:00",3307,23.48,55.35,24.1,53.85,18.06,17.29,16.61
"2026-08-30 12:20:00",3308,23.63,56.51,24.25,54.72,18.13,17.28,16.61
"2026-08-30 12:40:00",3309,23.48,56.44,24,54.78,18.2,17.28,16.61
"2026-08-30 13:00:00",3310,23.62,57.23,24.15,55.84,18.27,17.27,16.61
"2026-08-30 13:20:00",3311,23.45,58.35,23.89,57.12,18.34,17.27,16.61
"2026-08-30 13:40:00",3312,23.76,57.6,24.36,55.31,18.4,17.26,16.61
"2026-08-30 14:00:00",3313,23.76,57.35,24.27,56.44,18.45,17.26,16.61
