hourofday,temp200,rh200,temp50,rh50,bodentemp5,bodentemp20,bodentemp50,windgeschw200,winddir200,globalstrahlung,kurzwUP,langwUP,langwDOWN,nettostrahlung
1,12.27,91.86,11.28,93.65,15.44,15.92,15.72,1.50,181.06,-1.42,1.19,-35.77,-6.21,-32.18
2,11.92,92.94,10.96,94.57,15.26,15.91,15.72,1.49,179.98,-1.48,1.19,-34.21,-5.70,-31.17
3,11.60,93.84,10.66,95.32,15.08,15.89,15.72,1.47,183.84,-1.45,1.22,-32.15,-5.26,-29.55
4,11.34,94.30,10.44,95.67,14.92,15.86,15.72,1.48,178.96,-1.44,1.28,-30.97,-4.89,-28.79
5,11.15,94.88,10.32,96.07,14.76,15.82,15.72,1.49,183.86,-1.37,1.20,-28.48,-4.36,-26.69
6,11.26,94.45,10.54,95.64,14.63,15.78,15.71,1.54,176.17,-0.71,1.28,-26.84,-3.89,-24.95
7,11.73,92.81,11.20,93.84,14.52,15.73,15.70,1.55,173.86,26.45,7.08,-27.70,-2.59,-5.74
8,13.26,88.97,13.16,89.84,14.47,15.68,15.69,1.88,172.27,117.51,24.10,-35.74,0.07,57.60
9,15.08,83.19,15.21,84.21,14.53,15.63,15.66,2.30,178.64,229.38,43.35,-49.84,3.99,132.21
10,16.81,76.42,17.20,76.43,14.72,15.57,15.64,2.59,182.39,337.34,61.03,-61.59,9.50,205.22
11,18.15,70.23,18.85,69.05,15.02,15.53,15.62,2.82,186.45,417.92,73.29,-66.41,14.80,263.42
12,19.19,65.48,20.00,64.09,15.36,15.48,15.59,2.99,189.50,466.16,81.06,-69.29,18.84,296.97
13,19.87,62.48,20.65,61.23,15.73,15.48,15.58,3.09,192.84,469.58,81.91,-69.87,20.01,297.79
14,20.24,60.51,20.94,59.48,16.06,15.47,15.57,3.10,194.07,449.79,79.31,-70.09,19.62,280.75
15,20.34,60.08,20.87,59.58,16.31,15.49,15.56,3.02,194.36,387.63,69.83,-70.10,15.74,231.96
16,20.21,60.84,20.46,61.01,16.46,15.51,15.55,2.95,190.31,282.23,48.07,-69.41,7.05,157.70
17,19.49,63.51,19.30,64.77,16.54,15.55,15.54,2.68,186.69,128.84,23.78,-64.59,-0.80,41.27
18,18.47,68.69,18.03,70.56,16.52,15.60,15.54,2.21,184.29,86.54,16.95,-62.56,-5.13,12.15
19,16.77,76.07,16.01,78.82,16.43,15.65,15.55,1.77,181.90,20.06,5.18,-56.02,-10.09,-31.04
20,15.08,82.61,14.03,85.93,16.29,15.70,15.56,1.50,177.22,-1.35,1.09,-47.87,-10.56,-39.76
21,14.17,85.80,13.10,88.96,16.10,15.74,15.57,1.53,185.79,-1.64,1.17,-44.43,-9.20,-38.04
22,13.56,87.96,12.53,90.61,15.88,15.77,15.58,1.56,181.87,-1.53,1.17,-41.30,-8.28,-35.73
23,13.03,89.59,12.05,91.88,15.68,15.78,15.58,1.58,182.79,-1.50,1.09,-38.83,-7.41,-34.01
24,12.59,90.66,11.60,92.75,15.48,15.79,15.59,1.56,182.01,-1.41,1.15,-37.23,-6.81,-32.99
