STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
        722;18960101;-999;-999;-999;    1;   0.0;   0;-999;  70;   2.3;   2.5;  887.50;   -6.7;   69.00;   -5.3;   -9.6;-999;eor
        722;18960102;-999;-999;-999;    1;   2.1;-999;-999;  65;   4.7;   3.9;  887.70;   -2.2;   77.00;   -0.7;   -6.0;-999;eor
        722;18960103;-999;-999;-999;    1;   1.8;-999;-999;  60;   8.0;   6.0;  886.50;    0.1;  100.00;    1.1;   -2.0;-999;eor
        722;18960104;-999;-999;-999;    1;   0.9;-999;-999;  60;   2.7;   4.0;  889.70;   -4.0;   92.00;   -0.3;   -5.6;-999;eor
        722;18960105;-999;-999;-999;    1;   0.0;   0;-999;  60;   2.7;   4.3;  896.10;   -3.2;   89.00;   -2.8;   -4.6;-999;eor
        722;18960106;-999;-999;-999;    1;   0.0;   0;-999;  55;   0.0;   2.7;  898.50;   -1.8;   51.00;   -1.2;   -4.5;-999;eor
        722;18960107;-999;-999;-999;    1;   0.5;-999;-999;  55;   0.0;   3.1;  898.10;   -1.4;   56.00;    1.7;   -3.0;-999;eor
        722;18960108;-999;-999;-999;    1;   8.4;-999;-999;  55;   8.0;   4.1;  888.00;   -5.8;  100.00;   -3.0;   -7.0;-999;eor
        722;18960109;-999;-999;-999;    1;   0.7;-999;-999;  65;   6.0;   2.3;  895.30;  -12.9;  100.00;   -7.0;  -13.5;-999;eor
        722;18960110;-999;-999;-999;    1;   0.0;   0;-999;  65;   0.7;   1.3;  897.70;  -10.2;   52.00;   -8.3;  -14.1;-999;eor
        722;18960111;-999;-999;-999;    1;   1.3;-999;-999;  65;   3.7;   3.5;  894.20;   -4.8;   82.00;   -3.0;   -8.6;-999;eor
        722;18960112;-999;-999;-999;    1;   2.8;-999;-999;  65;   8.0;   4.3;  883.50;   -4.9;  100.00;   -3.7;   -5.4;-999;eor
        722;18960113;-999;-999;-999;    1;   8.7;-999;-999;  70;   8.0;   4.1;  872.20;   -5.1;  100.00;   -4.5;   -5.3;-999;eor
        722;18960114;-999;-999;-999;    1;   3.6;-999;-999;  85;   7.0;   3.9;  864.90;   -5.9;  100.00;   -5.3;   -6.2;-999;eor
        722;18960115;-999;-999;-999;    1;  13.2;-999;-999;  85;   8.0;   3.5;  865.20;   -7.1;  100.00;   -6.0;   -8.5;-999;eor
        722;18960116;-999;-999;-999;    1;  24.9;-999;-999;  95;   8.0;   4.1;  867.10;   -5.4;  100.00;   -3.6;   -6.2;-999;eor
        722;18960117;-999;-999;-999;    1;  12.5;-999;-999; 110;   8.0;   4.8;  878.90;   -2.8;  100.00;   -1.0;   -6.3;-999;eor
        722;18960118;-999;-999;-999;    1;   1.5;-999;-999; 110;   8.0;   6.1;  888.90;    0.0;  100.00;    0.9;   -1.0;-999;eor
        722;18960119;-999;-999;-999;    1;   0.0;   0;-999; 100;   0.0;   6.0;  891.70;    0.7;   93.00;    1.1;   -0.9;-999;eor
        722;18960120;-999;-999;-999;    1;   0.7;-999;-999;  90;   2.7;   4.0;  894.30;   -5.1;   93.00;    1.3;   -6.1;-999;eor
        722;18960121;-999;-999;-999;    1;   0.0;   0;-999;  90;   1.7;   4.7;  894.30;   -1.2;   86.00;    1.4;   -6.3;-999;eor
        722;18960122;-999;-999;-999;    1;   2.6;-999;-999;  90;   6.7;   3.7;  884.40;   -6.6;  100.00;    0.3;   -6.8;-999;eor
        722;18960123;-999;-999;-999;    1;   0.7;-999;-999;  90;   8.0;   3.6;  887.90;   -6.7;  100.00;   -5.7;   -7.3;-999;eor
        722;18960124;-999;-999;-999;    1;   0.3;-999;-999;  90;   2.0;   2.7;  887.30;   -7.9;   81.00;   -6.9;  -10.2;-999;eor
        722;18960125;-999;-999;-999;    1;   7.8;-999;-999;  90;   6.7;   4.1;  884.00;   -3.9;   96.00;   -1.5;   -9.4;-999;eor
        722;18960126;-999;-999;-999;    1;   4.2;-999;-999; 100;   8.0;   4.8;  887.50;   -3.4;  100.00;   -1.3;   -4.4;-999;eor
        722;18960127;-999;-999;-999;    1;   0.0;   0;-999; 105;   0.0;   2.0;  895.00;   -5.8;   52.00;   -3.7;   -8.3;-999;eor
        722;18960128;-999;-999;-999;    1;   0.8;-999;-999; 100;   0.7;   2.1;  895.20;   -3.5;   47.00;   -0.4;   -7.6;-999;eor
        722;18960129;-999;-999;-999;    1;   0.6;-999;-999; 100;   4.7;   4.3;  901.10;   -4.8;  100.00;   -3.1;   -6.8;-999;eor
        722;18960130;-999;-999;-999;    1;   3.3;-999;-999; 100;   7.3;   4.4;  901.00;   -3.9;  100.00;   -3.2;   -5.8;-999;eor
        722;18960131;-999;-999;-999;    1;   2.5;-999;-999; 100;   8.0;   5.3;  898.60;   -1.9;  100.00;   -1.1;   -3.2;-999;eor
        722;18960201;-999;-999;-999;    1;   0.6;-999;-999; 100;   7.0;   4.9;  896.00;   -2.9;  100.00;   -1.4;   -4.2;-999;eor
        722;18960202;-999;-999;-999;    1;   1.2;-999;-999; 100;   7.3;   4.0;  895.30;   -5.6;  100.00;   -3.1;   -6.6;-999;eor
        722;18960203;-999;-999;-999;    1;   0.0;   0;-999; 100;   2.0;   3.1;  902.00;   -1.5;   62.00;    0.5;   -6.8;-999;eor
        722;18960204;-999;-999;-999;    1;   0.0;   0;-999;  90;   0.3;   1.7;  901.40;    3.4;   22.00;    6.2;    0.5;-999;eor
        722;18960205;-999;-999;-999;    1;   3.6;-999;-999;  90;   7.3;   4.4;  893.50;   -3.9;  100.00;    2.0;   -7.4;-999;eor
        722;18960206;-999;-999;-999;    1;   2.3;-999;-999;  90;   8.0;   5.6;  895.20;   -1.0;  100.00;   -0.4;   -2.4;-999;eor
        722;18960207;-999;-999;-999;    1;   0.0;   0;-999;  85;   6.3;   4.7;  895.10;   -4.1;  100.00;   -0.8;   -5.4;-999;eor
        722;18960208;-999;-999;-999;    1;   0.0;   0;-999;  75;   0.7;   2.7;  892.60;   -2.4;   55.00;    0.3;   -6.2;-999;eor
        722;18960209;-999;-999;-999;    1;   1.8;-999;-999;  65;   5.0;   6.3;  889.80;    0.2;  100.00;    1.2;   -1.7;-999;eor
